kp,ki,kd,targetTicks,timeToTarget_ms,minTicks,maxTicks,avgTicks
0.002500,0.000007,0.000060,-751.0,1007.2,-783.0,-745.0,-779.6
0.002500,0.000007,0.000060,-731.0,1513.4,-740.0,-735.0,-735.5
0.002500,0.000007,0.000060,-711.0,735.7,-717.0,-703.0,-704.0
0.002500,0.000007,0.000060,-691.0,2543.6,-701.0,-691.0,-692.2
0.002500,0.000007,0.000060,-671.0,530.0,-681.0,-675.0,-676.0
0.002500,0.000007,0.000060,-651.0,679.5,-661.0,-657.0,-659.7
0.002500,0.000007,0.000060,-631.0,224.7,-641.0,-637.0,-637.4
0.002500,0.000007,0.000060,-611.0,288.8,-621.0,-616.0,-619.1
0.002500,0.000007,0.000060,-591.0,225.0,-597.0,-576.0,-577.9
0.002500,0.000007,0.000060,-571.0,9.5,-578.0,-578.0,-578.0
0.002500,0.000007,0.000060,-551.0,1036.1,-556.0,-551.0,-551.2
0.002500,0.000007,0.000060,-531.0,582.9,-539.0,-537.0,-538.8
0.002500,0.000007,0.000060,-511.0,878.4,-519.0,-514.0,-514.5
0.002500,0.000007,0.000060,-491.0,586.1,-501.0,-497.0,-497.2
0.002500,0.000007,0.000060,-471.0,666.0,-481.0,-478.0,-480.0
0.002500,0.000007,0.000060,-451.0,182.6,-459.0,-456.0,-457.9
0.002500,0.000007,0.000060,-431.0,1202.0,-441.0,-437.0,-439.0
0.002500,0.000007,0.000060,-411.0,1055.7,-421.0,-417.0,-418.4
0.002500,0.000007,0.000060,-391.0,280.1,-399.0,-394.0,-394.2
0.002500,0.000007,0.000060,-371.0,712.1,-379.0,-374.0,-374.3
0.002500,0.000007,0.000060,-351.0,336.5,-360.0,-356.0,-356.2
0.002500,0.000007,0.000060,-331.0,988.5,-339.0,-334.0,-334.4
0.002500,0.000007,0.000060,-311.0,400.5,-321.0,-315.0,-315.5
0.002500,0.000007,0.000060,-291.0,313.9,-299.0,-297.0,-297.1
0.002500,0.000007,0.000060,-271.0,252.7,-281.0,-276.0,-277.9
0.002500,0.000007,0.000060,-251.0,1228.0,-260.0,-254.0,-254.4
0.002500,0.000007,0.000060,-231.0,281.2,-241.0,-227.0,-238.4
0.002500,0.000007,0.000060,-211.0,279.6,-221.0,-216.0,-216.3
0.002500,0.000007,0.000060,-191.0,208.6,-199.0,-190.0,-190.9
0.002500,0.000007,0.000060,-171.0,846.3,-180.0,-173.0,-173.7
0.002500,0.000007,0.000060,-151.0,252.0,-160.0,-152.0,-157.1
0.002500,0.000007,0.000060,-131.0,192.6,-140.0,-137.0,-137.2
0.002500,0.000007,0.000060,-111.0,190.4,-119.0,-112.0,-115.6
0.002500,0.000007,0.000060,-91.0,283.9,-101.0,-92.0,-99.9
0.002500,0.000007,0.000060,-71.0,130.5,-79.0,-71.0,-71.6
0.002500,0.000007,0.000060,-51.0,377.7,-61.0,-56.0,-58.5
0.002500,0.000007,0.000060,-31.0,994.7,-41.0,-36.0,-37.1
0.002500,0.000007,0.000060,-11.0,191.3,-21.0,-15.0,-16.9
0.002500,0.000007,0.000060,9.0,1053.3,0.0,3.0,2.5
0.002500,0.000007,0.000060,29.0,278.4,19.0,29.0,27.1
0.002500,0.000007,0.000060,49.0,870.0,40.0,52.0,49.4
0.002500,0.000007,0.000060,69.0,668.8,60.0,62.0,61.7
0.002500,0.000007,0.000060,89.0,187.0,80.0,84.0,83.8
0.002500,0.000007,0.000060,109.0,219.0,99.0,110.0,108.4
