kp,ki,kd,targetTicks,timeToTarget_ms,minTicks,maxTicks,avgTicks
0.002500,0.000007,0.000060,129.0,928.4,120.0,138.0,136.1
0.002500,0.000007,0.000060,149.0,1759.1,139.0,149.0,148.2
0.002500,0.000007,0.000060,169.0,328.8,161.0,164.0,163.9
0.002500,0.000007,0.000060,189.0,217.6,180.0,191.0,189.5
0.002500,0.000007,0.000060,209.0,578.6,199.0,211.0,205.5
0.002500,0.000007,0.000060,229.0,222.9,220.0,222.0,221.0
0.002500,0.000007,0.000060,249.0,101.4,240.0,253.0,251.7
0.002500,0.000007,0.000060,269.0,578.2,260.0,261.0,261.0
0.002500,0.000007,0.000060,289.0,154.5,282.0,288.0,287.7
0.002500,0.000007,0.000060,309.0,337.5,300.0,307.0,306.4
0.002500,0.000007,0.000060,329.0,223.8,320.0,326.0,322.3
0.002500,0.000007,0.000060,349.0,1218.8,339.0,345.0,343.4
0.002500,0.000007,0.000060,369.0,1141.7,359.0,367.0,361.0
0.002500,0.000007,0.000060,389.0,1794.5,379.0,384.0,381.1
0.002500,0.000007,0.000060,409.0,40.5,401.0,415.0,413.0
0.002500,0.000007,0.000060,429.0,898.2,419.0,423.0,422.7
0.002500,0.000007,0.000060,449.0,194.5,441.0,448.0,447.4
0.002500,0.000007,0.000060,469.0,191.2,459.0,471.0,464.4
0.002500,0.000007,0.000060,489.0,219.7,480.0,485.0,484.3
0.002500,0.000007,0.000060,509.0,186.8,501.0,504.0,503.9
0.002500,0.000007,0.000060,529.0,157.0,521.0,530.0,528.9
0.002500,0.000007,0.000060,549.0,228.0,540.0,541.0,541.0
0.002500,0.000007,0.000060,569.0,189.7,564.0,580.0,578.5
0.002500,0.000007,0.000060,589.0,9.7,580.0,580.0,580.0
0.002500,0.000007,0.000060,609.0,223.0,600.0,602.0,601.9
0.002500,0.000007,0.000060,629.0,160.0,621.0,627.0,626.6
0.002500,0.000007,0.000060,649.0,276.6,642.0,642.0,642.0
0.002500,0.000007,0.000060,669.0,248.3,659.0,673.0,671.0
0.002500,0.000007,0.000060,689.0,1141.5,683.0,687.0,686.8
0.002500,0.000007,0.000060,709.0,157.2,700.0,701.0,700.9
0.002500,0.000007,0.000060,729.0,279.4,720.0,725.0,724.3
0.002500,0.000007,0.000060,749.0,1363.8,742.0,751.0,750.5
