Iteration,targetRPS,kp,ki,kd,avgRampUpTime,avgMaxRPS,avgMinRPS
13,25.0,0.000195,0.000003,0.000027,1254.93,34.29,25.71
13,30.0,0.000195,0.000003,0.000027,4083.81,29.29,27.86
13,35.0,0.000195,0.000003,0.000027,4805.87,35.00,32.86
13,40.0,0.000195,0.000003,0.000027,1782.26,47.14,40.71
13,45.0,0.000195,0.000003,0.000027,5060.89,47.14,45.00
13,50.0,0.000195,0.000003,0.000027,5055.43,52.14,50.00
13,55.0,0.000195,0.000003,0.000027,2696.56,59.29,55.00
13,60.0,0.000195,0.000003,0.000027,5063.73,65.71,64.29
14,15.0,0.000216,0.000003,0.000028,4092.24,15.00,13.57
14,20.0,0.000216,0.000003,0.000028,3999.42,20.00,17.14
14,25.0,0.000216,0.000003,0.000028,3628.65,25.71,21.43
14,30.0,0.000216,0.000003,0.000028,3785.90,30.00,27.86
14,35.0,0.000216,0.000003,0.000028,1476.87,42.86,35.00
14,40.0,0.000216,0.000003,0.000028,5057.51,41.43,40.00
14,45.0,0.000216,0.000003,0.000028,5054.26,47.86,45.00
14,50.0,0.000216,0.000003,0.000028,2353.36,55.00,50.71
14,55.0,0.000216,0.000003,0.000028,2768.89,60.00,55.00
14,60.0,0.000216,0.000003,0.000028,5056.22,65.71,63.57
15,15.0,0.000190,0.000003,0.000028,1177.07,20.71,15.71
15,20.0,0.000190,0.000003,0.000028,1186.18,26.43,20.71
15,25.0,0.000190,0.000003,0.000028,3627.51,25.00,21.43
15,30.0,0.000190,0.000003,0.000028,1336.40,38.57,30.00
15,35.0,0.000190,0.000003,0.000028,1556.84,44.29,36.43
15,40.0,0.000190,0.000003,0.000028,1763.11,46.43,40.00
15,45.0,0.000190,0.000003,0.000028,2062.85,51.43,45.71
15,50.0,0.000190,0.000003,0.000028,5067.97,52.86,51.43
15,55.0,0.000190,0.000003,0.000028,2709.20,58.57,54.29
15,60.0,0.000190,0.000003,0.000028,3213.51,63.57,60.00
16,15.0,0.000189,0.000003,0.000026,1187.51,20.71,15.71
16,20.0,0.000189,0.000003,0.000026,1181.86,26.43,20.00
16,25.0,0.000189,0.000003,0.000026,1256.34,33.57,25.71
16,30.0,0.000189,0.000003,0.000026,1394.95,38.57,30.71
16,35.0,0.000189,0.000003,0.000026,4809.27,35.71,33.57
16,40.0,0.000189,0.000003,0.000026,5066.17,42.86,40.71
16,45.0,0.000189,0.000003,0.000026,5068.87,46.43,45.00
16,50.0,0.000189,0.000003,0.000026,2348.79,55.71,50.71
16,55.0,0.000189,0.000003,0.000026,2773.04,60.00,55.71
16,60.0,0.000189,0.000003,0.000026,3230.90,63.57,60.00
17,15.0,0.000167,0.000003,0.000027,1193.24,20.71,15.71
17,20.0,0.000167,0.000003,0.000027,1333.80,26.43,20.71
17,25.0,0.000167,0.000003,0.000027,1386.83,32.14,25.71
17,30.0,0.000167,0.000003,0.000027,4155.34,30.00,27.14
17,35.0,0.000167,0.000003,0.000027,1558.87,43.57,35.71
17,40.0,0.000167,0.000003,0.000027,1761.20,47.14,40.00
17,45.0,0.000167,0.000003,0.000027,5006.88,47.86,45.71
17,50.0,0.000167,0.000003,0.000027,2414.98,55.71,50.71
17,55.0,0.000167,0.000003,0.000027,5069.85,58.57,57.14
17,60.0,0.000167,0.000003,0.000027,3207.65,62.86,60.00
18,15.0,0.000155,0.000003,0.000030,4008.55,15.00,13.57
18,20.0,0.000155,0.000003,0.000030,3772.25,20.00,17.86
18,25.0,0.000155,0.000003,0.000030,5061.38,22.14,20.71
18,30.0,0.000155,0.000003,0.000030,1324.46,38.57,30.71
18,35.0,0.000155,0.000003,0.000030,4432.62,35.00,33.57
18,40.0,0.000155,0.000003,0.000030,1768.24,46.43,40.71
18,45.0,0.000155,0.000003,0.000030,1969.91,50.71,45.00
18,50.0,0.000155,0.000003,0.000030,2361.99,55.00,50.00
18,55.0,0.000155,0.000003,0.000030,5008.33,60.00,57.86
18,60.0,0.000155,0.000003,0.000030,3221.91,63.57,60.00
19,15.0,0.000144,0.000003,0.000030,1182.67,20.71,15.71
19,20.0,0.000144,0.000003,0.000030,1248.06,27.14,20.00
19,25.0,0.000144,0.000003,0.000030,1251.42,33.57,25.00
19,30.0,0.000144,0.000003,0.000030,5001.38,25.71,25.00
19,35.0,0.000144,0.000003,0.000030,4429.09,35.00,33.57
19,40.0,0.000144,0.000003,0.000030,1768.60,45.71,40.00
19,45.0,0.000144,0.000003,0.000030,5064.60,47.14,46.43
19,50.0,0.000144,0.000003,0.000030,5068.70,52.86,50.71
19,55.0,0.000144,0.000003,0.000030,2703.95,59.29,55.00
19,60.0,0.000144,0.000003,0.000030,3239.91,64.29,60.00
20,15.0,0.000137,0.000003,0.000032,1183.20,20.71,15.00
20,20.0,0.000137,0.000003,0.000032,3653.02,20.00,17.86
20,25.0,0.000137,0.000003,0.000032,1397.71,32.86,25.71
20,30.0,0.000137,0.000003,0.000032,4221.37,30.00,27.14
20,35.0,0.000137,0.000003,0.000032,4960.25,35.00,33.57
20,40.0,0.000137,0.000003,0.000032,1772.37,46.43,40.00
20,45.0,0.000137,0.000003,0.000032,5002.06,47.14,45.71
20,50.0,0.000137,0.000003,0.000032,2408.46,55.00,50.00
20,55.0,0.000137,0.000003,0.000032,2782.79,59.29,55.00
20,60.0,0.000137,0.000003,0.000032,3208.76,62.86,59.29
