Iteration,targetRPS,kp,ki,kd,avgRampUpTime,avgMaxRPS,avgMinRPS
1,15.0,0.000300,0.000005,0.000030,3920.00,15.71,14.29
1,20.0,0.000300,0.000005,0.000030,3952.21,20.00,18.57
1,25.0,0.000300,0.000005,0.000030,3785.71,25.00,23.57
1,30.0,0.000300,0.000005,0.000030,3482.76,30.00,27.14
1,35.0,0.000300,0.000005,0.000030,1279.11,44.29,35.00
1,40.0,0.000300,0.000005,0.000030,1482.04,47.86,40.71
1,45.0,0.000300,0.000005,0.000030,1703.40,52.86,45.71
1,50.0,0.000300,0.000005,0.000030,5035.07,50.00,47.86
1,55.0,0.000300,0.000005,0.000030,5004.47,56.43,55.00
1,60.0,0.000300,0.000005,0.000030,2723.98,65.00,60.00
2,15.0,0.000276,0.000005,0.000026,1196.12,20.00,15.00
2,20.0,0.000276,0.000005,0.000026,3364.39,19.29,17.14
2,25.0,0.000276,0.000005,0.000026,3423.03,25.00,22.14
2,30.0,0.000276,0.000005,0.000026,5066.13,27.86,25.71
2,35.0,0.000276,0.000005,0.000026,1331.71,44.29,35.71
2,40.0,0.000276,0.000005,0.000026,1539.08,47.86,41.43
2,45.0,0.000276,0.000005,0.000026,1769.29,51.43,45.71
2,50.0,0.000276,0.000005,0.000026,1980.92,55.71,50.00
2,55.0,0.000276,0.000005,0.000026,5011.50,57.14,54.29
2,60.0,0.000276,0.000005,0.000026,2774.35,64.29,60.00
3,15.0,0.000289,0.000005,0.000026,3363.79,15.00,13.57
3,20.0,0.000289,0.000005,0.000026,1113.70,27.14,20.00
3,25.0,0.000289,0.000005,0.000026,5004.07,24.29,21.43
3,30.0,0.000289,0.000005,0.000026,3576.85,29.29,27.14
3,35.0,0.000289,0.000005,0.000026,1325.01,43.57,35.71
3,40.0,0.000289,0.000005,0.000026,5060.42,41.43,39.29
3,45.0,0.000289,0.000005,0.000026,5055.04,46.43,44.29
3,50.0,0.000289,0.000005,0.000026,5059.03,50.71,49.29
3,55.0,0.000289,0.000005,0.000026,5059.27,56.43,55.00
3,60.0,0.000289,0.000005,0.000026,2848.75,64.29,60.71
4,15.0,0.000316,0.000006,0.000030,1116.85,20.00,15.00
4,20.0,0.000316,0.000006,0.000030,1115.62,27.14,20.71
4,25.0,0.000316,0.000006,0.000030,1123.58,33.57,25.00
4,30.0,0.000316,0.000006,0.000030,1328.03,38.57,30.71
4,35.0,0.000316,0.000006,0.000030,4610.19,35.71,33.57
4,40.0,0.000316,0.000006,0.000030,1621.96,47.14,40.00
4,45.0,0.000316,0.000006,0.000030,5009.37,46.43,44.29
4,50.0,0.000316,0.000006,0.000030,2117.63,55.71,50.00
4,55.0,0.000316,0.000006,0.000030,5055.48,57.14,55.00
4,60.0,0.000316,0.000006,0.000030,2923.45,64.29,60.00
5,15.0,0.000325,0.000005,0.000026,1106.79,20.71,15.71
5,20.0,0.000325,0.000005,0.000026,1249.57,25.71,20.00
5,25.0,0.000325,0.000005,0.000026,1263.70,32.86,25.00
5,30.0,0.000325,0.000005,0.000026,3988.61,30.00,27.86
5,35.0,0.000325,0.000005,0.000026,4067.77,35.00,33.57
5,40.0,0.000325,0.000005,0.000026,1622.65,47.86,40.71
5,45.0,0.000325,0.000005,0.000026,5067.06,45.71,44.29
5,50.0,0.000325,0.000005,0.000026,5008.81,51.43,49.29
5,55.0,0.000325,0.000005,0.000026,2491.47,60.00,55.00
5,60.0,0.000325,0.000005,0.000026,2931.41,63.57,60.00
6,15.0,0.000309,0.000005,0.000029,1254.74,20.00,15.71
6,20.0,0.000309,0.000005,0.000029,3941.05,20.00,18.57
6,25.0,0.000309,0.000005,0.000029,5067.64,22.86,20.71
6,30.0,0.000309,0.000005,0.000029,3637.60,30.00,27.14
6,35.0,0.000309,0.000005,0.000029,4077.51,35.00,33.57
6,40.0,0.000309,0.000005,0.000029,5059.73,40.71,39.29
6,45.0,0.000309,0.000005,0.000029,5058.92,45.71,43.57
6,50.0,0.000309,0.000005,0.000029,2270.17,56.43,50.71
6,55.0,0.000309,0.000005,0.000029,2556.52,60.00,55.71
6,60.0,0.000309,0.000005,0.000029,2985.48,63.57,59.29
7,15.0,0.000287,0.000005,0.000026,1113.80,20.00,15.00
7,20.0,0.000287,0.000005,0.000026,1186.56,27.14,20.71
7,25.0,0.000287,0.000005,0.000026,3563.00,25.00,22.14
7,30.0,0.000287,0.000005,0.000026,3672.54,30.00,27.14
7,35.0,0.000287,0.000005,0.000026,4366.96,35.00,33.57
7,40.0,0.000287,0.000005,0.000026,1702.30,47.14,40.71
7,45.0,0.000287,0.000005,0.000026,1965.36,52.14,45.71
7,50.0,0.000287,0.000005,0.000026,2196.17,55.00,49.29
7,55.0,0.000287,0.000005,0.000026,5006.64,57.86,55.71
7,60.0,0.000287,0.000005,0.000026,2990.83,62.86,59.29
8,15.0,0.000311,0.000004,0.000029,1179.96,20.00,15.71
8,20.0,0.000311,0.000004,0.000029,3561.13,20.00,17.14
8,25.0,0.000311,0.000004,0.000029,1193.81,33.57,25.71
8,30.0,0.000311,0.000004,0.000029,3881.36,29.29,27.86
8,35.0,0.000311,0.000004,0.000029,4659.96,35.71,33.57
8,40.0,0.000311,0.000004,0.000029,5060.75,42.14,40.00
8,45.0,0.000311,0.000004,0.000029,1899.12,50.71,45.00
8,50.0,0.000311,0.000004,0.000029,5061.44,51.43,50.00
8,55.0,0.000311,0.000004,0.000029,2626.96,60.00,55.71
8,60.0,0.000311,0.000004,0.000029,3049.82,63.57,60.71
9,15.0,0.000284,0.000004,0.000024,1181.17,20.71,15.71
9,20.0,0.000284,0.000004,0.000024,3910.61,20.00,18.57
9,25.0,0.000284,0.000004,0.000024,4071.69,25.00,21.43
9,30.0,0.000284,0.000004,0.000024,5044.02,26.43,25.00
9,35.0,0.000284,0.000004,0.000024,4229.15,35.00,33.57
9,40.0,0.000284,0.000004,0.000024,1682.81,47.86,41.43
9,45.0,0.000284,0.000004,0.000024,1899.12,50.71,45.00
9,50.0,0.000284,0.000004,0.000024,5046.04,52.14,50.00
9,55.0,0.000284,0.000004,0.000024,2614.58,60.00,55.00
9,60.0,0.000284,0.000004,0.000024,3053.18,63.57,60.00
10,15.0,0.000246,0.000004,0.000025,1254.42,19.29,15.00
10,20.0,0.000246,0.000004,0.000025,1329.91,26.43,20.71
10,25.0,0.000246,0.000004,0.000025,3643.54,24.29,21.43
10,30.0,0.000246,0.000004,0.000025,1329.48,39.29,31.43
10,35.0,0.000246,0.000004,0.000025,4230.08,35.00,33.57
10,40.0,0.000246,0.000004,0.000025,5004.56,41.43,40.00
10,45.0,0.000246,0.000004,0.000025,5057.09,46.43,44.29
10,50.0,0.000246,0.000004,0.000025,5049.86,52.14,50.71
10,55.0,0.000246,0.000004,0.000025,2641.71,59.29,55.00
10,60.0,0.000246,0.000004,0.000025,3063.11,62.86,60.00
11,15.0,0.000214,0.000004,0.000027,5044.66,13.57,12.86
11,20.0,0.000214,0.000004,0.000027,1188.05,27.14,20.71
11,25.0,0.000214,0.000004,0.000027,3563.35,25.00,22.14
11,30.0,0.000214,0.000004,0.000027,3786.32,29.29,27.14
11,35.0,0.000214,0.000004,0.000027,1470.16,42.86,35.71
11,40.0,0.000214,0.000004,0.000027,5064.99,41.43,39.29
11,45.0,0.000214,0.000004,0.000027,1975.06,51.43,45.71
11,50.0,0.000214,0.000004,0.000027,2271.06,55.00,50.00
11,55.0,0.000214,0.000004,0.000027,2639.35,59.29,55.00
11,60.0,0.000214,0.000004,0.000027,3086.75,63.57,60.00
12,15.0,0.000229,0.000003,0.000025,3567.41,15.00,12.14
12,20.0,0.000229,0.000003,0.000025,1186.23,26.43,20.00
12,25.0,0.000229,0.000003,0.000025,3651.30,25.00,21.43
12,30.0,0.000229,0.000003,0.000025,1335.93,38.57,30.71
12,35.0,0.000229,0.000003,0.000025,1541.74,42.86,35.00
12,40.0,0.000229,0.000003,0.000025,1757.12,48.57,41.43
12,45.0,0.000229,0.000003,0.000025,1974.58,51.43,45.00
12,50.0,0.000229,0.000003,0.000025,5003.31,52.14,50.71
12,55.0,0.000229,0.000003,0.000025,2703.29,59.29,55.71
12,60.0,0.000229,0.000003,0.000025,3115.56,62.86,60.00
13,15.0,0.000195,0.000003,0.000027,1184.30,20.00,15.00
13,20.0,0.000195,0.000003,0.000027,1257.56,26.43,20.71
