TargetRPS,ActualRPS,HoodPosition,DistanceMM,Quality,Timestamp
35.55,35.71,0.800,2092.5,Good,1764481933052
37.99,38.57,0.800,2211.7,Good,1764481946578
41.15,41.43,0.800,2465.5,Good,1764481956354
34.57,34.29,0.800,1985.5,Good,1764481968735
32.82,32.14,0.800,1807.2,Good,1764481977980
31.11,30.71,0.800,1304.6,Good,1764481993306
34.22,35.00,0.800,1525.2,Good,1764482003149
32.85,32.86,0.800,1597.0,Good,1764482016558
34.05,33.57,0.800,1911.9,Good,1764482025058
46.30,45.71,0.800,3362.3,Good,1764482034497
