Power,RPS_MAX,RPS_MIN,RPS_avg,Battery_Voltage
0.15,12.14,9.29,10.88,12.84
0.20,16.43,15.00,15.66,12.78
0.25,21.43,20.00,20.67,12.75
0.30,25.00,24.29,24.71,12.73
0.35,29.29,28.57,28.92,12.72
0.40,33.57,32.86,33.01,12.70
0.45,37.86,37.14,37.36,12.66
0.50,42.14,41.43,41.73,12.63
0.55,46.43,45.00,45.74,12.60
0.60,50.71,49.29,50.07,12.52
0.65,55.00,53.57,54.30,12.49
