TargetRPS,ActualRPS,HoodPosition,DistanceMM,Quality,Timestamp
46.68,48.57,0.800,3252.3,Bad - Overshot,1764393569194
46.60,47.14,0.800,3744.8,Good,1764393578674
46.87,47.14,0.800,3406.4,Bad - Overshot,1764393587879
46.60,47.86,0.800,3817.0,Good,1764393599150
40.75,41.43,0.800,2381.7,Bad - Overshot,1764393610430
46.50,46.43,0.800,3480.3,Good,1764393623499
47.18,46.43,0.800,3350.1,Good,1764393633441
34.44,35.00,0.800,1961.1,Good,1764393646401
46.60,47.14,0.800,3856.9,Good,1764393659952
30.71,31.43,0.800,1321.7,Good,1764393674893
