kp,ki,kd,targetTicks,timeToTarget_ms,minTicks,maxTicks,avgTicks
0.003000,0.000010,0.000045,-751.0,769.8,-777.0,-744.0,-772.2
0.003000,0.000010,0.000045,-731.0,2053.6,-740.0,-734.0,-734.3
0.003000,0.000010,0.000045,-711.0,853.7,-720.0,-710.0,-710.8
0.003000,0.000010,0.000045,-691.0,1690.3,-700.0,-699.0,-699.0
0.003000,0.000010,0.000045,-671.0,261.7,-680.0,-677.0,-677.1
0.003000,0.000010,0.000045,-651.0,1214.4,-661.0,-661.0,-661.0
0.003000,0.000010,0.000045,-631.0,350.6,-641.0,-641.0,-641.0
0.003000,0.000010,0.000045,-611.0,227.5,-621.0,-621.0,-621.0
0.003000,0.000010,0.000045,-591.0,228.3,-601.0,-596.0,-596.3
0.003000,0.000010,0.000045,-571.0,502.8,-579.0,-557.0,-559.5
0.003000,0.000010,0.000045,-551.0,3048.5,-561.0,-560.0,-560.0
0.003000,0.000010,0.000045,-531.0,526.4,-541.0,-538.0,-538.3
0.003000,0.000010,0.000045,-511.0,673.0,-519.0,-517.0,-517.1
0.003000,0.000010,0.000045,-491.0,633.3,-501.0,-500.0,-500.0
0.003000,0.000010,0.000045,-471.0,256.3,-480.0,-478.0,-478.3
0.003000,0.000010,0.000045,-451.0,670.1,-461.0,-453.0,-456.7
0.003000,0.000010,0.000045,-431.0,848.9,-440.0,-439.0,-439.0
0.003000,0.000010,0.000045,-411.0,1377.7,-420.0,-414.0,-414.5
0.003000,0.000010,0.000045,-391.0,458.5,-400.0,-396.0,-396.2
0.003000,0.000010,0.000045,-371.0,845.3,-381.0,-377.0,-377.6
0.003000,0.000010,0.000045,-351.0,340.8,-361.0,-361.0,-361.0
0.003000,0.000010,0.000045,-331.0,192.8,-339.0,-333.0,-333.5
0.003000,0.000010,0.000045,-311.0,1348.0,-321.0,-318.0,-319.0
0.003000,0.000010,0.000045,-291.0,1444.6,-301.0,-299.0,-299.1
0.003000,0.000010,0.000045,-271.0,1742.6,-281.0,-269.0,-271.0
0.003000,0.000010,0.000045,-251.0,967.5,-261.0,-255.0,-255.5
0.003000,0.000010,0.000045,-231.0,306.3,-240.0,-239.0,-239.0
0.003000,0.000010,0.000045,-211.0,222.7,-221.0,-215.0,-215.8
0.003000,0.000010,0.000045,-191.0,484.4,-201.0,-195.0,-195.7
0.003000,0.000010,0.000045,-171.0,371.2,-179.0,-176.0,-176.1
0.003000,0.000010,0.000045,-151.0,485.1,-159.0,-157.0,-157.1
0.003000,0.000010,0.000045,-131.0,547.9,-141.0,-134.0,-134.9
0.003000,0.000010,0.000045,-111.0,846.8,-121.0,-117.0,-117.6
0.003000,0.000010,0.000045,-91.0,274.3,-100.0,-95.0,-95.6
0.003000,0.000010,0.000045,-71.0,687.3,-80.0,-75.0,-75.3
0.003000,0.000010,0.000045,-51.0,399.0,-61.0,-58.0,-60.5
0.003000,0.000010,0.000045,-31.0,757.7,-41.0,-39.0,-39.1
0.003000,0.000010,0.000045,-11.0,280.5,-20.0,-17.0,-17.1
0.003000,0.000010,0.000045,9.0,256.7,0.0,4.0,3.1
0.003000,0.000010,0.000045,29.0,281.7,20.0,23.0,22.0
0.003000,0.000010,0.000045,49.0,279.9,39.0,44.0,43.7
0.003000,0.000010,0.000045,69.0,606.6,61.0,65.0,64.8
0.003000,0.000010,0.000045,89.0,434.0,79.0,84.0,79.7
0.003000,0.000010,0.000045,109.0,1532.4,100.0,101.0,100.9
0.003000,0.000010,0.000045,129.0,364.6,122.0,127.0,126.8
0.003000,0.000010,0.000045,149.0,491.0,140.0,152.0,151.2
0.003000,0.000010,0.000045,169.0,937.0,159.0,163.0,162.6
0.003000,0.000010,0.000045,189.0,192.3,181.0,188.0,187.7
0.003000,0.000010,0.000045,209.0,423.2,200.0,202.0,201.9
0.003000,0.000010,0.000045,229.0,191.2,222.0,228.0,227.7
0.003000,0.000010,0.000045,249.0,756.0,241.0,246.0,245.6
0.003000,0.000010,0.000045,269.0,397.2,259.0,263.0,262.7
0.003000,0.000010,0.000045,289.0,165.1,280.0,284.0,282.9
0.003000,0.000010,0.000045,309.0,997.4,302.0,306.0,305.8
0.003000,0.000010,0.000045,329.0,224.1,319.0,327.0,323.7
0.003000,0.000010,0.000045,349.0,571.2,340.0,346.0,345.3
0.003000,0.000010,0.000045,369.0,606.9,359.0,364.0,359.3
0.003000,0.000010,0.000045,389.0,245.3,379.0,381.0,380.9
0.003000,0.000010,0.000045,409.0,155.8,401.0,411.0,410.5
0.003000,0.000010,0.000045,429.0,930.0,419.0,426.0,425.5
0.003000,0.000010,0.000045,449.0,304.1,439.0,443.0,441.3
0.003000,0.000010,0.000045,469.0,162.4,461.0,468.0,467.7
0.003000,0.000010,0.000045,489.0,654.8,481.0,487.0,486.7
0.003000,0.000010,0.000045,509.0,456.7,499.0,501.0,500.9
0.003000,0.000010,0.000045,529.0,188.5,525.0,531.0,530.7
0.003000,0.000010,0.000045,549.0,1542.6,539.0,546.0,545.5
0.003000,0.000010,0.000045,569.0,250.1,563.0,577.0,575.9
0.003000,0.000010,0.000045,589.0,1602.0,581.0,585.0,583.1
0.003000,0.000010,0.000045,609.0,1291.1,601.0,602.0,602.0
0.003000,0.000010,0.000045,629.0,310.6,619.0,626.0,624.9
0.003000,0.000010,0.000045,649.0,1338.1,639.0,653.0,649.4
0.003000,0.000010,0.000045,669.0,956.6,661.0,675.0,673.9
0.003000,0.000010,0.000045,689.0,931.6,681.0,681.0,681.0
0.003000,0.000010,0.000045,709.0,194.5,701.0,701.0,701.0
0.003000,0.000010,0.000045,729.0,189.4,720.0,721.0,720.1
0.003000,0.000010,0.000045,749.0,243.9,734.0,745.0,736.8
