CurrentRPS,CurrentPower,CurrentVoltage,DistanceToTargetMM
0.00,0.00,12.69,3565.04
0.00,0.00,12.64,3565.04
0.00,0.00,12.66,3565.04
0.00,0.00,12.62,3565.04
0.00,0.00,12.60,3565.04
0.00,0.00,12.64,3565.04
0.00,0.00,12.62,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.69,3565.04
0.00,0.00,12.69,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.73,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.71,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.71,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.71,3565.04
0.00,0.00,12.71,3565.04
0.00,0.00,12.71,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.71,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.71,3565.04
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.71,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.71,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.71,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.03
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.71,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.73,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.71,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.72,3565.04
0.00,0.00,12.71,3565.04
