TargetRPS,ActualRPS,HoodPosition,DistanceMM,Quality,Timestamp
35.00,35.00,0.800,1977.3,Good,1764403357633
33.95,35.00,0.800,1706.9,Good,1764403366577
38.39,38.57,0.800,2292.1,Bad - Overshot,1764403378768
33.37,33.57,0.800,1588.8,Good,1764403388881
41.61,42.86,0.800,2630.7,Bad - Overshot,1764403400282
39.42,40.71,0.800,2365.4,Good,1764403411538
33.55,34.29,0.800,1563.6,Bad - Overshot,1764403426687
39.37,39.29,0.800,2356.3,Good,1764403438869
42.90,42.86,0.800,2794.8,Good,1764403446408
29.11,29.29,0.800,945.9,Good,1764403460201
34.00,35.71,0.800,1800.1,Good,1764403534258
33.71,35.00,0.800,1679.9,Bad - Overshot,1764403544273
33.34,33.57,0.800,1439.4,Bad - Overshot,1764403554797
37.66,37.86,0.800,2192.2,Good,1764403565826
32.46,34.29,0.800,1303.7,Bad - Overshot,1764403580202
31.39,32.14,0.800,1022.8,Bad - Overshot,1764403591020
28.06,28.57,0.800,839.9,Good,1764403602047
40.90,42.14,0.800,2550.6,Good,1764403613840
