targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS,kp,ki,kd,kf
20.0,4602,19.29,20.00,19.85,0.014000,0.001000,0.002000,0.010350
22.0,4736,21.43,22.14,21.87,0.014000,0.001000,0.002000,0.010350
24.0,1021,24.29,29.29,28.01,0.014000,0.001000,0.002000,0.010350
26.0,1025,26.43,31.43,30.44,0.014000,0.001000,0.002000,0.010350
28.0,5289,27.14,28.57,27.81,0.014000,0.001000,0.002000,0.010350
30.0,1101,30.00,35.71,34.08,0.014000,0.001000,0.002000,0.010350
32.0,2907,27.14,32.14,29.29,0.014000,0.001000,0.002000,0.010350
34.0,1269,33.57,38.57,37.30,0.014000,0.001000,0.002000,0.010350
36.0,1382,36.43,40.71,39.39,0.014000,0.001000,0.002000,0.010350
38.0,3198,34.29,38.57,36.33,0.014000,0.001000,0.002000,0.010350
40.0,1638,40.71,44.29,42.81,0.014000,0.001000,0.002000,0.010350
42.0,3285,38.57,42.14,40.46,0.014000,0.001000,0.002000,0.010350
44.0,1836,44.29,47.86,46.73,0.014000,0.001000,0.002000,0.010350
46.0,1971,45.71,49.29,48.32,0.014000,0.001000,0.002000,0.010350
48.0,3488,45.00,47.86,46.28,0.014000,0.001000,0.002000,0.010350
50.0,2323,50.71,52.86,52.19,0.014000,0.001000,0.002000,0.010350
52.0,2463,52.14,55.00,54.08,0.014000,0.001000,0.002000,0.010350
54.0,2590,54.29,56.43,55.82,0.014000,0.001000,0.002000,0.010350
