kp,ki,kd,targetTicks,timeToTarget_ms,minTicks,maxTicks,avgTicks
0.002400,0.000030,0.000070,-751.0,1005.1,-789.0,-748.0,-784.5
0.002400,0.000030,0.000070,-731.0,3429.6,-739.0,-739.0,-739.0
0.002400,0.000030,0.000070,-711.0,5001.7,-728.0,-728.0,-728.0
0.002400,0.000030,0.000070,-691.0,5023.9,-702.0,-702.0,-702.0
0.002400,0.000030,0.000070,-671.0,5022.8,-685.0,-685.0,-685.0
0.002400,0.000030,0.000070,-651.0,5021.3,-665.0,-665.0,-665.0
0.002400,0.000030,0.000070,-631.0,5000.4,-643.0,-643.0,-643.0
0.002400,0.000030,0.000070,-611.0,3726.6,-620.0,-616.0,-616.2
0.002400,0.000030,0.000070,-591.0,631.8,-599.0,-575.0,-577.6
0.002400,0.000030,0.000070,-571.0,14.5,-577.0,-577.0,-577.0
0.002400,0.000030,0.000070,-551.0,1989.1,-561.0,-559.0,-559.1
0.002400,0.000030,0.000070,-531.0,314.1,-541.0,-539.0,-539.3
