Iteration,targetRPS,kp,ki,kd,avgRampUpTime,avgMaxRPS,avgMinRPS
9,20.0,0.000359,0.000003,0.000015,1315.49,25.71,20.71
9,25.0,0.000359,0.000003,0.000015,1327.60,32.86,25.71
9,30.0,0.000359,0.000003,0.000015,1251.36,38.57,30.00
9,35.0,0.000359,0.000003,0.000015,1456.63,42.86,35.71
9,40.0,0.000359,0.000003,0.000015,1625.68,46.43,40.00
9,45.0,0.000359,0.000003,0.000015,4989.01,45.71,43.57
9,50.0,0.000359,0.000003,0.000015,2195.55,55.00,49.29
9,55.0,0.000359,0.000003,0.000015,5036.56,57.14,55.71
9,60.0,0.000359,0.000003,0.000015,3147.62,64.29,60.00
10,15.0,0.000391,0.000003,0.000015,1257.45,19.29,15.00
10,20.0,0.000391,0.000003,0.000015,3494.04,20.00,16.43
10,25.0,0.000391,0.000003,0.000015,5047.85,22.14,20.00
10,30.0,0.000391,0.000003,0.000015,1255.96,38.57,30.71
10,35.0,0.000391,0.000003,0.000015,1462.51,42.14,35.71
10,40.0,0.000391,0.000003,0.000015,1689.71,46.43,40.71
10,45.0,0.000391,0.000003,0.000015,5006.13,45.71,43.57
10,50.0,0.000391,0.000003,0.000015,2267.30,55.71,50.71
10,55.0,0.000391,0.000003,0.000015,2698.75,59.29,55.00
10,60.0,0.000391,0.000003,0.000015,3199.80,64.29,60.00
11,15.0,0.000438,0.000003,0.000015,1182.76,20.00,15.00
11,20.0,0.000438,0.000003,0.000015,5055.39,17.86,16.43
11,25.0,0.000438,0.000003,0.000015,3477.66,25.00,21.43
11,30.0,0.000438,0.000003,0.000015,1317.21,38.57,30.71
11,35.0,0.000438,0.000003,0.000015,4498.95,35.00,33.57
11,40.0,0.000438,0.000003,0.000015,5048.47,41.43,39.29
11,45.0,0.000438,0.000003,0.000015,1983.99,50.71,45.00
11,50.0,0.000438,0.000003,0.000015,5069.56,50.71,49.29
11,55.0,0.000438,0.000003,0.000015,2692.98,59.29,55.71
11,60.0,0.000438,0.000003,0.000015,3138.44,63.57,60.00
12,15.0,0.000461,0.000003,0.000013,1186.33,19.29,15.00
12,20.0,0.000461,0.000003,0.000013,3417.53,20.00,17.14
12,25.0,0.000461,0.000003,0.000013,1322.89,31.43,25.00
12,30.0,0.000461,0.000003,0.000013,1390.27,38.57,30.71
12,35.0,0.000461,0.000003,0.000013,1536.64,42.14,35.71
12,40.0,0.000461,0.000003,0.000013,5067.85,41.43,39.29
12,45.0,0.000461,0.000003,0.000013,1959.66,50.71,45.00
12,50.0,0.000461,0.000003,0.000013,2340.19,55.71,50.71
12,55.0,0.000461,0.000003,0.000013,2694.82,59.29,55.00
12,60.0,0.000461,0.000003,0.000013,123.49,0.00,0.00
