targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS,kp,ki,kd,kf,kfBase
20.0,970,20.71,23.57,22.80,0.012000,0.001000,0.002000,0.010500,-0.01
22.0,2365,18.57,22.14,19.45,0.012000,0.001000,0.002000,0.010500,-0.01
24.0,2429,20.00,24.29,21.32,0.012000,0.001000,0.002000,0.010500,-0.01
26.0,1023,26.43,32.14,30.60,0.012000,0.001000,0.002000,0.010500,-0.01
28.0,2660,23.57,27.86,25.38,0.012000,0.001000,0.002000,0.010500,-0.01
30.0,2803,26.43,30.00,28.16,0.012000,0.001000,0.002000,0.010500,-0.01
32.0,5902,30.71,32.14,31.48,0.012000,0.001000,0.002000,0.010500,-0.01
34.0,2850,30.00,34.29,31.63,0.012000,0.001000,0.002000,0.010500,-0.01
36.0,1335,37.14,40.71,39.80,0.012000,0.001000,0.002000,0.010500,-0.01
38.0,3191,35.00,38.57,36.38,0.012000,0.001000,0.002000,0.010500,-0.01
40.0,1515,40.71,44.29,43.21,0.012000,0.001000,0.002000,0.010500,-0.01
42.0,3198,38.57,42.14,40.31,0.012000,0.001000,0.002000,0.010500,-0.01
44.0,1769,44.29,47.86,46.84,0.012000,0.001000,0.002000,0.010500,-0.01
46.0,1895,46.43,50.00,48.93,0.012000,0.001000,0.002000,0.010500,-0.01
48.0,2041,48.57,51.43,50.51,0.012000,0.001000,0.002000,0.010500,-0.01
50.0,2199,50.71,53.57,52.35,0.012000,0.001000,0.002000,0.010500,-0.01
52.0,2273,52.14,55.00,54.44,0.012000,0.001000,0.002000,0.010500,-0.01
54.0,2434,53.57,57.14,56.07,0.012000,0.001000,0.002000,0.010500,-0.01
