targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS
20.0,968,20.71,26.43,24.73
22.0,2561,19.29,22.14,20.49
24.0,876,25.00,32.86,30.66
26.0,958,27.86,35.00,33.19
28.0,2729,24.29,27.14,26.17
30.0,2863,27.14,30.00,28.21
32.0,3287,28.57,32.14,29.95
34.0,1251,35.00,42.14,40.15
36.0,1319,36.43,44.29,41.99
38.0,1392,38.57,45.71,43.78
40.0,1470,40.00,47.14,45.26
42.0,1633,43.57,49.29,47.65
44.0,1690,44.29,51.43,49.18
46.0,1838,47.14,53.57,51.17
48.0,4404,47.14,48.57,47.55
50.0,4640,49.29,50.71,49.90
52.0,2256,52.86,59.29,56.94
54.0,2385,53.57,60.71,58.01
