targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS
20.0,1459,20.00,26.43,24.03
22.0,1470,22.14,29.29,26.73
24.0,1465,25.00,32.14,29.49
26.0,1409,25.71,35.00,31.99
28.0,1380,27.14,38.57,34.59
30.0,4268,26.43,29.29,28.21
32.0,1398,32.14,42.86,39.34
34.0,1458,35.00,45.00,41.38
36.0,1544,36.43,47.14,43.06
38.0,5318,34.29,37.86,36.02
40.0,1696,40.71,50.00,46.84
42.0,1782,43.57,52.14,48.62
44.0,1847,43.57,53.57,49.54
46.0,1991,46.43,55.00,51.38
48.0,2159,48.57,57.14,53.21
50.0,2368,50.71,58.57,55.15
52.0,2544,52.86,60.00,56.79
54.0,2703,54.29,61.43,57.96
