targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS,kp,ki,kd,kf
26.0,8002,26.43,26.43,26.43,0.012000,0.001000,0.005500,0.012054
26.5,1134,27.14,30.71,29.39,0.012000,0.001000,0.005500,0.012054
27.0,3163,25.71,27.86,26.33,0.012000,0.001000,0.005500,0.012054
27.5,8032,27.86,27.86,27.86,0.012000,0.001000,0.005500,0.012054
28.0,3361,27.14,28.57,27.55,0.012000,0.001000,0.005500,0.012054
28.5,1128,29.29,33.57,31.84,0.012000,0.001000,0.005500,0.012054
29.0,8035,30.00,30.00,30.00,0.012000,0.001000,0.005500,0.012054
29.5,1194,28.57,30.00,29.29,0.012000,0.001000,0.005500,0.012054
30.0,1206,30.71,35.00,33.06,0.012000,0.001000,0.005500,0.012054
30.5,3441,29.29,30.71,30.10,0.012000,0.001000,0.005500,0.012054
31.0,8036,31.43,31.43,31.43,0.012000,0.001000,0.005500,0.012054
31.5,1193,31.43,37.14,34.80,0.012000,0.001000,0.005500,0.012054
32.0,1272,32.14,37.14,34.80,0.012000,0.001000,0.005500,0.012054
32.5,8042,32.86,32.86,32.86,0.012000,0.001000,0.005500,0.012054
33.0,1275,32.86,37.86,36.12,0.012000,0.001000,0.005500,0.012054
33.5,1277,33.57,37.86,36.22,0.012000,0.001000,0.005500,0.012054
34.0,1346,35.00,39.29,37.14,0.012000,0.001000,0.005500,0.012054
34.5,1285,33.57,39.29,36.73,0.012000,0.001000,0.005500,0.012054
35.0,3660,34.29,35.00,34.49,0.012000,0.001000,0.005500,0.012054
35.5,3692,34.29,35.71,34.90,0.012000,0.001000,0.005500,0.012054
36.0,3830,34.29,35.71,34.90,0.012000,0.001000,0.005500,0.012054
36.5,3501,35.71,36.43,36.12,0.012000,0.001000,0.005500,0.012054
37.0,1514,37.86,41.43,40.41,0.012000,0.001000,0.005500,0.012054
37.5,8031,37.86,37.86,37.86,0.012000,0.001000,0.005500,0.012054
38.0,1503,37.86,42.14,40.41,0.012000,0.001000,0.005500,0.012054
38.5,3658,37.86,38.57,38.16,0.012000,0.001000,0.005500,0.012054
39.0,3593,37.86,39.29,38.67,0.012000,0.001000,0.005500,0.012054
39.5,3894,37.86,39.29,38.57,0.012000,0.001000,0.005500,0.012054
40.0,1662,40.71,44.29,42.86,0.012000,0.001000,0.005500,0.012054
40.5,1735,40.71,44.29,42.96,0.012000,0.001000,0.005500,0.012054
41.0,1673,40.71,45.71,43.57,0.012000,0.001000,0.005500,0.012054
41.5,3943,41.43,41.43,41.43,0.012000,0.001000,0.005500,0.012054
42.0,3668,41.43,42.14,41.94,0.012000,0.001000,0.005500,0.012054
42.5,1822,43.57,46.43,45.10,0.012000,0.001000,0.005500,0.012054
43.0,1829,43.57,47.14,45.51,0.012000,0.001000,0.005500,0.012054
43.5,1885,43.57,46.43,45.41,0.012000,0.001000,0.005500,0.012054
44.0,1905,44.29,47.86,46.53,0.012000,0.001000,0.005500,0.012054
44.5,1958,45.00,47.86,46.22,0.012000,0.001000,0.005500,0.012054
45.0,4072,45.00,45.71,45.20,0.012000,0.001000,0.005500,0.012054
45.5,4072,45.00,46.43,45.51,0.012000,0.001000,0.005500,0.012054
46.0,4149,45.00,46.43,45.71,0.012000,0.001000,0.005500,0.012054
46.5,2036,46.43,50.00,48.47,0.012000,0.001000,0.005500,0.012054
47.0,4133,45.71,47.14,46.63,0.012000,0.001000,0.005500,0.012054
47.5,2111,47.14,50.71,49.39,0.012000,0.001000,0.005500,0.012054
48.0,2188,48.57,51.43,50.10,0.012000,0.001000,0.005500,0.012054
48.5,2332,50.71,52.86,51.63,0.012000,0.001000,0.005500,0.012054
49.0,2202,48.57,52.86,50.61,0.012000,0.001000,0.005500,0.012054
49.5,2265,49.29,52.86,51.53,0.012000,0.001000,0.005500,0.012054
50.0,2349,50.00,52.86,51.84,0.012000,0.001000,0.005500,0.012054
