targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS,kp,ki,kd,kf,kfBase
20.0,1059,20.00,22.14,21.04,0.014000,0.001000,0.002000,0.008278,-0.01
22.0,1244,20.71,24.29,23.06,0.014000,0.001000,0.002000,0.008278,-0.01
24.0,1132,23.57,27.14,25.77,0.014000,0.001000,0.002000,0.008278,-0.01
26.0,1137,26.43,29.29,28.02,0.014000,0.001000,0.002000,0.008278,-0.01
28.0,1132,27.86,31.43,30.00,0.014000,0.001000,0.002000,0.008278,-0.01
30.0,1111,30.00,33.57,32.19,0.014000,0.001000,0.002000,0.008278,-0.01
32.0,1185,32.14,35.00,33.78,0.014000,0.001000,0.002000,0.008278,-0.01
34.0,1261,32.86,36.43,35.46,0.014000,0.001000,0.002000,0.008278,-0.01
36.0,1387,35.71,37.86,36.94,0.014000,0.001000,0.002000,0.008278,-0.01
38.0,1475,37.14,39.29,38.52,0.014000,0.001000,0.002000,0.008278,-0.01
40.0,2155,37.14,40.71,39.03,0.014000,0.001000,0.002000,0.008278,-0.01
42.0,1848,40.00,42.86,41.79,0.014000,0.001000,0.002000,0.008278,-0.01
44.0,1918,42.14,44.29,43.52,0.014000,0.001000,0.002000,0.008278,-0.01
46.0,2089,42.86,46.43,44.85,0.014000,0.001000,0.002000,0.008278,-0.01
48.0,8029,43.57,43.57,43.57,0.014000,0.001000,0.002000,0.008278,-0.01
50.0,8032,45.71,45.71,45.71,0.014000,0.001000,0.002000,0.008278,-0.01
52.0,8022,47.14,47.14,47.14,0.014000,0.001000,0.002000,0.008278,-0.01
54.0,8001,50.00,50.00,50.00,0.014000,0.001000,0.002000,0.008278,-0.01
