targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS
20.0,1465,20.71,27.14,25.27
22.0,1458,22.86,29.29,26.76
24.0,1372,24.29,31.43,28.90
26.0,1408,26.43,35.00,31.59
28.0,4274,24.29,27.86,26.26
30.0,1278,30.00,40.71,37.14
32.0,1393,32.86,42.86,39.40
34.0,1323,34.29,45.71,41.33
36.0,1481,36.43,47.14,43.42
38.0,1489,37.14,48.57,44.59
40.0,1612,40.00,50.71,46.58
42.0,1788,42.14,52.14,48.42
44.0,1851,43.57,53.57,49.59
46.0,2010,46.43,55.71,51.79
48.0,5940,47.86,49.29,48.88
50.0,8072,53.57,53.57,53.57
52.0,2453,52.14,60.71,56.84
54.0,2665,54.29,62.14,58.72
