targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS
20.0,4447,18.57,20.00,19.34
22.0,2213,18.57,22.14,19.80
24.0,933,24.29,29.29,28.06
26.0,1009,26.43,31.43,30.51
28.0,2575,23.57,27.86,25.26
30.0,2822,25.71,29.29,27.09
32.0,1178,32.86,37.14,35.82
34.0,1297,35.00,38.57,37.60
36.0,1382,36.43,40.71,39.34
38.0,2981,34.29,38.57,36.58
40.0,1539,40.00,44.29,42.96
42.0,3225,38.57,42.14,40.51
44.0,1746,44.29,47.86,46.63
46.0,1895,46.43,49.29,48.27
48.0,3399,45.00,48.57,46.43
50.0,3583,46.43,50.00,48.06
52.0,2316,52.86,55.00,53.93
54.0,2463,54.29,57.14,55.87
