TargetRPS,ActualRPS,HoodPosition,DistanceMM,Quality,Timestamp
33.23,33.57,0.800,1426.3,Good,1764395362856
37.24,37.86,0.800,2160.9,Good,1764395378238
33.00,34.29,0.800,1791.9,Good,1764395388296
33.71,35.00,0.800,1878.8,Good,1764395398698
33.63,33.57,0.800,1871.2,Good,1764395413176
33.00,34.29,0.800,1659.2,Good,1764395432492
34.74,35.00,0.800,2018.6,Good,1764395448703
34.53,35.00,0.800,1977.9,Good,1764395461031
33.63,34.29,0.800,1871.1,Good,1764395470854
41.50,42.86,0.800,2525.7,Good,1764395479013
