targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS,kp,ki,kd,kf
20.0,4638,19.29,20.00,19.73,0.014000,0.001000,0.002000,0.010150
22.0,982,22.14,27.14,25.71,0.014000,0.001000,0.002000,0.010150
24.0,1041,24.29,29.29,27.97,0.014000,0.001000,0.002000,0.010150
26.0,1039,26.43,31.43,30.20,0.014000,0.001000,0.002000,0.010150
28.0,2756,23.57,28.57,25.10,0.014000,0.001000,0.002000,0.010150
30.0,2696,26.43,30.00,27.86,0.014000,0.001000,0.002000,0.010150
32.0,1258,32.86,37.14,35.71,0.014000,0.001000,0.002000,0.010150
34.0,1328,34.29,38.57,37.19,0.014000,0.001000,0.002000,0.010150
36.0,1483,37.14,40.71,39.45,0.014000,0.001000,0.002000,0.010150
38.0,3215,34.29,38.57,36.28,0.014000,0.001000,0.002000,0.010150
40.0,3309,36.43,40.00,38.42,0.014000,0.001000,0.002000,0.010150
42.0,1798,42.14,45.71,44.62,0.014000,0.001000,0.002000,0.010150
44.0,1844,43.57,47.86,46.48,0.014000,0.001000,0.002000,0.010150
46.0,2056,45.71,49.29,48.06,0.014000,0.001000,0.002000,0.010150
48.0,2149,47.86,50.71,49.95,0.014000,0.001000,0.002000,0.010150
50.0,3521,47.14,50.71,48.62,0.014000,0.001000,0.002000,0.010150
52.0,2578,52.86,54.29,53.88,0.014000,0.001000,0.002000,0.010150
54.0,2715,53.57,55.71,55.31,0.014000,0.001000,0.002000,0.010150
