CurrentRPS,CurrentPower,CurrentVoltage,DistanceToTargetMM
0.00,0.00,12.70,3564.69
0.00,0.00,12.65,3564.69
0.00,0.00,12.66,3564.69
0.00,0.00,12.65,3564.69
0.00,0.00,12.64,3564.69
0.00,0.00,12.63,3564.69
0.00,0.00,12.63,3564.69
0.00,0.00,12.62,3564.69
0.00,0.00,12.62,3564.69
0.00,0.00,12.69,3564.69
0.00,0.00,12.68,3564.69
0.00,0.00,12.69,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.69,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.69,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.69,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.69,3564.69
0.00,0.00,12.69,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.69,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.69,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.69,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.69,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.69,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.69,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.69,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.00,12.70,3564.69
0.00,0.05,12.70,3564.69
0.00,0.05,12.70,3564.69
0.00,0.05,12.69,3564.69
0.00,0.10,12.70,3564.69
0.00,0.10,12.70,3564.69
0.00,0.10,12.70,3564.69
0.00,0.15,12.70,3564.69
0.00,0.15,12.70,3564.69
0.00,0.15,12.70,3564.69
0.00,0.20,12.70,3564.69
0.00,0.20,12.70,3564.69
0.00,0.25,12.69,3564.70
0.00,0.30,12.70,3564.70
0.00,0.30,12.70,3564.70
0.00,0.30,12.70,3564.70
0.00,0.35,12.69,3564.70
0.00,0.35,12.70,3564.70
0.00,0.35,12.70,3564.70
0.00,0.40,12.70,3564.70
0.00,0.40,12.69,3564.70
0.00,0.40,12.70,3564.70
0.00,0.45,12.70,3564.70
0.00,0.45,12.70,3564.70
0.00,0.45,12.70,3564.70
0.00,0.50,12.69,3564.70
0.00,0.50,12.70,3564.70
0.00,0.50,12.70,3564.70
0.00,0.50,12.70,3564.70
0.00,0.50,12.70,3564.70
0.00,0.50,12.70,3564.70
0.00,0.50,12.70,3564.70
0.00,0.50,12.70,3564.70
0.00,0.50,12.69,3564.70
0.00,0.50,12.70,3564.70
0.00,0.50,12.69,3564.70
0.00,0.50,12.70,3564.70
0.00,0.50,12.70,3564.70
0.00,0.50,12.70,3564.70
0.00,0.50,12.69,3564.70
0.00,0.50,12.70,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.71
0.00,0.55,12.70,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.70,3564.71
0.00,0.55,12.69,3564.71
0.00,0.55,12.70,3564.71
0.00,0.55,12.69,3564.71
0.00,0.55,12.70,3564.71
0.00,0.55,12.70,3564.71
0.00,0.55,12.70,3564.71
0.00,0.55,12.69,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.71
0.00,0.55,12.70,3564.71
0.00,0.55,12.70,3564.71
0.00,0.55,12.70,3564.71
0.00,0.55,12.70,3564.71
0.00,0.55,12.70,3564.71
0.00,0.55,12.70,3564.71
0.00,0.55,12.70,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,12.70,3564.70
0.00,0.55,11.47,3564.71
0.00,0.55,12.27,3564.67
0.00,0.55,12.49,3564.67
0.00,0.55,12.54,3564.67
0.00,0.55,12.57,3564.67
0.00,0.55,12.50,3564.71
0.00,0.55,12.55,3564.71
0.00,0.55,12.14,3564.70
0.00,0.55,12.35,3564.63
0.00,0.55,12.52,3564.70
0.00,0.55,12.36,3564.67
0.00,0.55,12.31,3564.78
0.00,0.55,12.67,3564.70
0.00,0.55,12.68,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,12.69,3564.70
0.00,0.55,11.66,3564.70
0.00,0.55,12.11,3564.79
0.00,0.55,12.23,3565.14
0.00,0.55,12.26,3564.59
0.00,0.55,12.25,3564.63
0.00,0.55,12.29,3564.81
0.00,0.55,12.28,3564.66
0.00,0.55,12.65,3564.70
0.00,0.55,12.66,3564.70
0.00,0.55,12.67,3564.70
0.00,0.55,12.67,3564.70
0.00,0.55,11.30,3564.70
0.00,0.55,12.02,3564.48
0.00,0.55,12.13,3564.77
0.00,0.55,12.28,3564.67
0.00,0.55,12.12,3564.70
0.00,0.55,11.90,3564.66
0.00,0.55,12.03,3564.66
0.00,0.55,12.10,3564.74
0.00,0.55,12.31,3564.66
0.00,0.55,12.65,3564.66
0.00,0.55,12.66,3564.70
0.00,0.55,12.67,3564.70
0.00,0.55,12.67,3564.70
0.00,0.55,12.67,3564.70
0.00,0.55,12.67,3564.70
0.00,0.55,11.42,3564.70
0.00,0.55,12.03,3564.63
0.00,0.55,12.08,3564.66
0.00,0.55,12.08,3564.70
0.00,0.55,12.07,3564.70
0.00,0.55,12.55,3564.70
0.00,0.55,12.66,3564.70
0.00,0.55,12.66,3564.70
0.00,0.55,11.96,3564.62
0.00,0.55,12.06,3564.66
