targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS,kp,ki,kd,kf
20.0,1042,20.00,22.86,21.70,0.014000,0.001000,0.002000,0.008420
22.0,1020,22.14,25.00,24.18,0.014000,0.001000,0.002000,0.008420
24.0,1034,25.00,27.14,26.22,0.014000,0.001000,0.002000,0.008420
26.0,1029,27.14,30.00,28.52,0.014000,0.001000,0.002000,0.008420
28.0,1086,27.86,31.43,30.26,0.014000,0.001000,0.002000,0.008420
30.0,1173,30.00,33.57,32.40,0.014000,0.001000,0.002000,0.008420
32.0,1248,32.14,35.71,34.18,0.014000,0.001000,0.002000,0.008420
34.0,1320,34.29,37.14,36.02,0.014000,0.001000,0.002000,0.008420
36.0,1390,35.71,37.86,37.24,0.014000,0.001000,0.002000,0.008420
38.0,1478,37.86,40.00,39.13,0.014000,0.001000,0.002000,0.008420
40.0,1629,38.57,41.43,40.56,0.014000,0.001000,0.002000,0.008420
42.0,1832,40.71,43.57,42.30,0.014000,0.001000,0.002000,0.008420
44.0,1813,42.14,45.00,43.88,0.014000,0.001000,0.002000,0.008420
46.0,1973,44.29,46.43,45.66,0.014000,0.001000,0.002000,0.008420
48.0,2120,45.71,48.57,47.76,0.014000,0.001000,0.002000,0.008420
50.0,2359,47.14,50.00,49.03,0.014000,0.001000,0.002000,0.008420
52.0,8050,47.86,47.86,47.86,0.014000,0.001000,0.002000,0.008420
54.0,2765,49.29,52.86,51.33,0.014000,0.001000,0.002000,0.008420
