TargetRPS,ActualRPS,HoodPosition,DistanceMM,Quality,Timestamp
33.00,34.29,0.800,1791.5,Good,1764394238964
33.00,33.57,0.800,1703.7,Good,1764394247656
33.00,34.29,0.800,1737.4,Good,1764394261165
33.43,34.29,0.800,1629.7,Bad - Overshot,1764394276116
33.11,34.29,0.800,1823.5,Good,1764394287576
33.00,35.00,0.800,1689.3,Good,1764394298195
34.07,35.00,0.800,1565.2,Good,1764394309643
33.92,35.71,0.800,1610.1,Bad - Overshot,1764394321337
40.99,42.14,0.800,2466.3,Bad - Overshot,1764394332061
33.81,34.29,0.800,1614.6,Good,1764394340896
