targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS,kp,ki,kd,kf
20.0,1116,20.00,21.43,20.92,0.014000,0.001000,0.002000,0.008300
22.0,2194,17.14,22.14,19.08,0.014000,0.001000,0.002000,0.008300
24.0,1028,23.57,27.14,25.99,0.014000,0.001000,0.002000,0.008300
26.0,1009,26.43,29.29,28.47,0.014000,0.001000,0.002000,0.008300
28.0,1035,28.57,32.14,30.61,0.014000,0.001000,0.002000,0.008300
30.0,1165,30.71,33.57,32.19,0.014000,0.001000,0.002000,0.008300
32.0,1261,32.14,35.00,33.93,0.014000,0.001000,0.002000,0.008300
34.0,1330,34.29,37.14,36.22,0.014000,0.001000,0.002000,0.008300
36.0,1413,36.43,38.57,37.76,0.014000,0.001000,0.002000,0.008300
38.0,2459,34.29,37.86,36.43,0.014000,0.001000,0.002000,0.008300
40.0,1626,38.57,41.43,40.15,0.014000,0.001000,0.002000,0.008300
42.0,2240,38.57,42.14,40.41,0.014000,0.001000,0.002000,0.008300
44.0,1860,42.14,45.00,43.57,0.014000,0.001000,0.002000,0.008300
46.0,1986,43.57,46.43,45.26,0.014000,0.001000,0.002000,0.008300
48.0,2264,44.29,47.86,46.28,0.014000,0.001000,0.002000,0.008300
50.0,2489,45.71,49.29,47.76,0.014000,0.001000,0.002000,0.008300
52.0,8012,47.86,47.86,47.86,0.014000,0.001000,0.002000,0.008300
54.0,2809,49.29,52.86,51.43,0.014000,0.001000,0.002000,0.008300
