Power,RPS_MAX,RPS_MIN,RPS_avg,Battery_Voltage
0.05,5.71,3.57,4.60,12.58
0.10,10.00,7.86,8.91,12.57
0.15,14.29,12.14,13.15,12.56
0.20,17.86,15.71,17.01,12.55
0.25,22.14,20.00,21.19,12.52
0.30,26.43,24.29,25.46,12.51
0.35,30.71,28.57,29.68,12.47
0.40,35.00,32.86,33.88,12.44
0.45,39.29,37.14,38.28,12.45
0.50,44.29,42.14,43.08,12.41
0.55,48.57,46.43,47.37,12.42
0.60,52.14,50.71,51.46,12.37
0.65,57.14,55.00,55.92,12.33
0.70,60.71,59.29,60.11,12.28
0.75,65.00,62.86,64.20,12.19
0.80,69.29,67.14,68.13,12.13
0.85,73.57,71.43,72.55,12.06
0.90,77.14,75.71,76.47,11.97
0.95,77.86,77.14,77.43,11.82
1.00,77.86,77.14,77.66,11.76
