targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS,kp,ki,kd,kf
26.0,2957,25.71,26.43,26.12,0.012000,0.001000,0.005500,0.012054
26.5,3015,25.71,27.14,26.33,0.012000,0.001000,0.005500,0.012054
27.0,2955,27.14,27.86,27.24,0.012000,0.001000,0.005500,0.012054
27.5,3115,26.43,27.86,26.84,0.012000,0.001000,0.005500,0.012054
28.0,2816,27.14,27.86,27.55,0.012000,0.001000,0.005500,0.012054
28.5,3083,27.86,29.29,28.67,0.012000,0.001000,0.005500,0.012054
29.0,3157,28.57,30.00,28.98,0.012000,0.001000,0.005500,0.012054
29.5,3104,28.57,29.29,28.98,0.012000,0.001000,0.005500,0.012054
30.0,3324,28.57,30.71,29.18,0.012000,0.001000,0.005500,0.012054
30.5,2986,29.29,31.43,30.61,0.012000,0.001000,0.005500,0.012054
31.0,3156,29.29,30.71,29.80,0.012000,0.001000,0.005500,0.012054
31.5,3064,30.00,32.14,31.02,0.012000,0.001000,0.005500,0.012054
32.0,3065,30.71,32.86,31.53,0.012000,0.001000,0.005500,0.012054
32.5,3144,31.43,32.86,31.94,0.012000,0.001000,0.005500,0.012054
33.0,3147,31.43,33.57,32.55,0.012000,0.001000,0.005500,0.012054
33.5,3383,32.86,33.57,33.27,0.012000,0.001000,0.005500,0.012054
34.0,3300,32.86,34.29,33.88,0.012000,0.001000,0.005500,0.012054
34.5,3217,33.57,34.29,33.88,0.012000,0.001000,0.005500,0.012054
35.0,3152,35.00,35.71,35.10,0.012000,0.001000,0.005500,0.012054
35.5,3070,35.00,35.71,35.41,0.012000,0.001000,0.005500,0.012054
36.0,3297,35.00,36.43,35.61,0.012000,0.001000,0.005500,0.012054
36.5,3299,35.71,37.14,36.43,0.012000,0.001000,0.005500,0.012054
37.0,3235,36.43,37.86,36.84,0.012000,0.001000,0.005500,0.012054
37.5,3532,36.43,37.86,37.14,0.012000,0.001000,0.005500,0.012054
38.0,3545,37.14,38.57,37.86,0.012000,0.001000,0.005500,0.012054
38.5,3203,38.57,39.29,38.98,0.012000,0.001000,0.005500,0.012054
39.0,3157,37.86,39.29,38.67,0.012000,0.001000,0.005500,0.012054
39.5,3370,38.57,39.29,39.08,0.012000,0.001000,0.005500,0.012054
40.0,3385,39.29,40.71,39.90,0.012000,0.001000,0.005500,0.012054
40.5,3298,40.00,41.43,40.61,0.012000,0.001000,0.005500,0.012054
41.0,3705,40.00,41.43,40.41,0.012000,0.001000,0.005500,0.012054
41.5,3586,40.71,42.14,41.43,0.012000,0.001000,0.005500,0.012054
42.0,3600,40.71,42.14,41.43,0.012000,0.001000,0.005500,0.012054
42.5,3587,41.43,42.86,42.14,0.012000,0.001000,0.005500,0.012054
43.0,3608,41.43,42.86,42.45,0.012000,0.001000,0.005500,0.012054
43.5,3506,42.86,45.00,43.57,0.012000,0.001000,0.005500,0.012054
44.0,3590,43.57,45.00,44.08,0.012000,0.001000,0.005500,0.012054
44.5,3754,43.57,45.00,44.08,0.012000,0.001000,0.005500,0.012054
45.0,3612,44.29,45.71,44.69,0.012000,0.001000,0.005500,0.012054
45.5,3441,45.00,46.43,45.61,0.012000,0.001000,0.005500,0.012054
46.0,3676,45.00,46.43,45.71,0.012000,0.001000,0.005500,0.012054
46.5,3834,45.00,47.14,46.02,0.012000,0.001000,0.005500,0.012054
47.0,3608,46.43,47.86,47.24,0.012000,0.001000,0.005500,0.012054
47.5,4132,47.14,47.86,47.45,0.012000,0.001000,0.005500,0.012054
48.0,3980,47.14,48.57,47.96,0.012000,0.001000,0.005500,0.012054
48.5,3667,48.57,48.57,48.57,0.012000,0.001000,0.005500,0.012054
49.0,3544,48.57,50.00,49.29,0.012000,0.001000,0.005500,0.012054
49.5,4064,48.57,50.00,49.18,0.012000,0.001000,0.005500,0.012054
50.0,3983,50.00,50.71,50.31,0.012000,0.001000,0.005500,0.012054
