TargetRPS,ActualRPS,HoodPosition,DistanceMM,Quality,Timestamp
33.50,33.57,0.800,1712.0,Bad - Overshot,1764397767279
33.50,33.57,0.800,1738.5,Good,1764397774666
33.50,33.57,0.800,1792.5,Bad - Overshot,1764397786820
32.03,32.86,0.800,1243.0,Bad - Overshot,1764397795917
33.34,32.86,0.800,1469.2,Bad - Overshot,1764397808516
32.90,33.57,0.800,1400.6,Good,1764397821507
34.82,35.00,0.800,1952.2,Good,1764397832239
33.32,34.29,0.800,1640.5,Good,1764397843601
33.50,34.29,0.800,1662.7,Good,1764397853241
33.60,33.57,0.800,1496.8,Good,1764397861872
36.79,37.86,0.800,2142.8,Good,1764397871275
