TargetRPS,ActualRPS,HoodPosition,DistanceMM,Quality,Timestamp
33.40,33.57,0.800,1643.4,Good,1764400198356
38.22,38.57,0.800,2259.1,Good,1764400216493
34.00,34.29,0.800,1713.1,Good,1764400226003
35.96,37.14,0.800,2092.6,Good,1764400233890
37.02,37.86,0.800,2144.7,Good,1764400244412
34.88,35.71,0.800,1962.1,Good,1764400254250
34.88,35.00,0.800,1963.0,Good,1764400271612
33.46,33.57,0.800,1461.9,Good,1764400279313
37.20,37.86,0.800,2153.7,Good,1764400289524
37.30,37.86,0.800,2158.5,Good,1764400301701
38.17,39.29,0.800,2247.5,Good,1764400316409
38.13,39.29,0.800,2240.2,Good,1764400334534
34.38,35.00,0.800,1877.7,Good,1764400343161
33.50,35.00,0.800,1577.6,Bad - Overshot,1764400354196
33.22,33.57,0.800,1610.8,Good,1764400366731
32.49,32.14,0.800,1318.9,Bad - Overshot,1764400377203
28.83,29.29,0.784,936.4,Good,1764400388804
32.05,32.86,0.800,1156.6,Good,1764400402924
38.09,38.57,0.800,2231.7,Good,1764400418571
40.73,41.43,0.800,2447.7,Bad - Overshot,1764400428502
41.97,42.86,0.800,2573.1,Bad - Overshot,1764400439143
43.22,45.00,0.800,2720.2,Bad - Overshot,1764400452030
43.97,44.29,0.800,2821.2,Bad - Overshot,1764400463652
45.00,45.00,0.800,3104.2,Bad - Overshot,1764400483679
34.87,35.00,0.800,1960.3,Good,1764400497507
41.10,41.43,0.800,2485.5,Bad - Overshot,1764400511078
41.88,42.86,0.800,2564.9,Bad - Overshot,1764400527424
45.68,45.71,0.800,3280.3,Good,1764400553287
45.52,45.71,0.800,3246.3,Good,1764400569077
46.29,46.43,0.800,3343.9,Bad - Overshot,1764400601060
46.60,46.43,0.800,3611.3,Good,1764400616477
46.60,47.14,0.800,3565.4,Good,1764400632859
46.60,47.14,0.800,3728.4,Good,1764400658383
46.60,47.14,0.800,3864.3,Good,1764400673268
46.60,47.14,0.800,3996.1,Good,1764400694366
46.60,47.14,0.800,4125.4,Good,1764400713265
