targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS,kp,ki,kd,kf
20.0,948,20.00,23.57,22.60,0.014000,0.001000,0.002000,0.009338
22.0,2225,17.86,22.14,19.44,0.014000,0.001000,0.002000,0.009338
24.0,1037,25.00,28.57,27.53,0.014000,0.001000,0.002000,0.009338
26.0,1131,26.43,30.71,29.34,0.014000,0.001000,0.002000,0.009338
28.0,2779,22.86,27.86,24.69,0.014000,0.001000,0.002000,0.009338
30.0,1190,30.00,35.00,33.32,0.014000,0.001000,0.002000,0.009338
32.0,2705,27.14,32.86,29.03,0.014000,0.001000,0.002000,0.009338
34.0,1376,35.00,37.86,36.58,0.014000,0.001000,0.002000,0.009338
36.0,1493,36.43,39.29,38.42,0.014000,0.001000,0.002000,0.009338
38.0,1554,37.86,40.71,39.80,0.014000,0.001000,0.002000,0.009338
40.0,1693,40.71,42.86,41.94,0.014000,0.001000,0.002000,0.009338
42.0,1851,42.86,44.29,43.41,0.014000,0.001000,0.002000,0.009338
44.0,1921,43.57,46.43,45.31,0.014000,0.001000,0.002000,0.009338
46.0,2150,46.43,47.86,46.99,0.014000,0.001000,0.002000,0.009338
48.0,2215,46.43,49.29,48.32,0.014000,0.001000,0.002000,0.009338
50.0,2416,49.29,50.71,50.26,0.014000,0.001000,0.002000,0.009338
52.0,2709,50.71,52.86,52.04,0.014000,0.001000,0.002000,0.009338
54.0,2710,52.86,54.29,53.98,0.014000,0.001000,0.002000,0.009338
