TargetRPS,ActualRPS,HoodPosition,DistanceMM,Quality,Timestamp
34.90,33.57,0.800,2051.5,Good,1764466265594
32.71,32.14,0.800,1790.4,Good,1764466278201
32.72,32.86,0.800,1615.4,Good,1764466291930
32.52,32.86,0.800,1760.8,Good,1764466302136
33.18,32.86,0.800,1840.4,Good,1764466315014
32.34,32.86,0.800,1670.8,Good,1764466329569
37.99,39.29,0.800,2213.1,Good,1764466341987
41.36,41.43,0.800,2491.4,Good,1764466353037
32.26,31.43,0.800,1718.9,Good,1764466360438
34.39,33.57,0.800,1950.9,Good,1764466369055
