Power,RPS_MAX,RPS_MIN,RPS_avg,Battery_Voltage
0.05,5.00,3.57,4.46,12.84
0.10,9.29,7.86,8.53,12.83
0.15,13.57,11.43,12.45,12.80
0.20,17.14,15.71,16.39,12.78
0.25,21.43,20.00,20.63,12.75
0.30,26.43,24.29,25.46,12.73
0.35,30.71,28.57,29.84,12.73
0.40,35.00,32.86,34.06,12.70
0.45,39.29,37.86,38.45,12.66
0.50,44.29,42.14,42.74,12.65
0.55,47.86,45.71,46.90,12.63
0.60,52.14,50.00,50.97,12.57
0.65,55.71,54.29,54.91,12.50
0.70,60.00,58.57,59.25,12.44
0.75,64.29,62.86,63.56,12.41
0.80,69.29,67.14,67.98,12.30
0.85,73.57,71.43,72.48,12.30
0.90,76.43,75.71,76.00,12.22
0.95,77.14,76.43,76.51,12.05
1.00,77.14,76.43,76.97,12.00
