targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS,kp,ki,kd,kf
20.0,8018,17.86,17.86,17.86,0.014000,0.001000,0.002000,0.007910
22.0,1138,22.14,24.29,23.11,0.014000,0.001000,0.002000,0.007910
24.0,1135,22.86,26.43,25.26,0.014000,0.001000,0.002000,0.007910
26.0,1105,26.43,28.57,27.86,0.014000,0.001000,0.002000,0.007910
28.0,2209,22.14,27.86,23.88,0.014000,0.001000,0.002000,0.007910
30.0,2244,24.29,29.29,26.02,0.014000,0.001000,0.002000,0.007910
32.0,1251,32.86,35.00,34.03,0.014000,0.001000,0.002000,0.007910
34.0,1254,32.86,35.71,34.74,0.014000,0.001000,0.002000,0.007910
36.0,1402,35.00,37.86,36.94,0.014000,0.001000,0.002000,0.007910
38.0,2438,34.29,37.86,35.97,0.014000,0.001000,0.002000,0.007910
40.0,1692,38.57,40.71,39.95,0.014000,0.001000,0.002000,0.007910
42.0,1817,40.00,42.14,41.48,0.014000,0.001000,0.002000,0.007910
44.0,1905,41.43,44.29,43.01,0.014000,0.001000,0.002000,0.007910
46.0,2006,42.86,45.71,44.69,0.014000,0.001000,0.002000,0.007910
48.0,8019,42.86,42.86,42.86,0.014000,0.001000,0.002000,0.007910
50.0,8017,45.00,45.00,45.00,0.014000,0.001000,0.002000,0.007910
52.0,8019,47.14,47.14,47.14,0.014000,0.001000,0.002000,0.007910
54.0,8048,49.29,49.29,49.29,0.014000,0.001000,0.002000,0.007910
