TargetRPS,ActualRPS,HoodPosition,DistanceMM,Quality,Timestamp
34.63,35.00,0.800,1997.2,Good,1764484089323
31.68,31.43,0.800,1446.6,Good,1764484098270
34.99,35.00,0.800,2067.4,Good,1764484108218
32.79,32.86,0.800,1605.4,Good,1764484123662
33.68,33.57,0.800,1881.1,Good,1764484140543
36.40,36.43,0.800,2127.1,Good,1764484151158
34.86,35.71,0.800,2041.9,Good,1764484162247
32.74,32.86,0.800,1794.7,Good,1764484174465
32.79,32.86,0.800,1404.9,Good,1764484185747
34.74,35.71,0.800,2018.5,Good,1764484208759
32.74,32.86,0.800,1612.4,Good,1764484223431
32.24,32.14,0.800,1429.7,Good,1764484234713
