targetRPS,rampUpTimeMs,minRPS,maxRPS,avgRPS,kp,ki,kd,kf
20.0,8009,18.57,18.57,18.57,0.014000,0.001000,0.002000,0.009338
22.0,2226,18.57,21.43,19.78,0.014000,0.001000,0.002000,0.009338
24.0,1046,24.29,27.86,26.81,0.014000,0.001000,0.002000,0.009338
26.0,1114,27.14,30.71,29.29,0.014000,0.001000,0.002000,0.009338
28.0,1029,28.57,32.86,31.65,0.014000,0.001000,0.002000,0.009338
30.0,1034,29.29,34.29,32.80,0.014000,0.001000,0.002000,0.009338
32.0,2489,27.14,32.14,29.34,0.014000,0.001000,0.002000,0.009338
34.0,1198,33.57,37.86,36.65,0.014000,0.001000,0.002000,0.009338
36.0,918,0.00,0.00,0.00,0.014000,0.001000,0.002000,0.009338
